Frequency(Hz),  Magnitude(dB),   Phase(deg)
51.636, 72.1353, 121.5916
51.819, 70.3723, 116.6344
52.002, 67.3980, 120.9880
52.185, 72.0886, 125.3113
52.368, 68.6499, 108.1305
52.551, 71.8689, 137.0776
52.734, 69.8612, 115.6788
52.917, 72.4668, 120.5240
53.101, 71.1732, 115.7722
53.284, 70.5077, 118.8919
53.467, 70.1026, 129.5047
53.650, 73.2916, 134.8203
53.833, 73.6082, 116.7916
54.016, 73.1451, 120.5468
54.199, 73.3598, 112.7574
54.382, 73.6773, 126.1792
54.565, 75.2658, 109.7715
54.749, 73.7658, 114.7976
54.932, 74.6317, 115.9508
55.115, 75.5443, 109.1237
55.298, 75.2888, 108.6340
55.481, 76.7053, 104.8853
55.664, 75.7891, 97.7007
55.847, 74.4610, 99.3563
56.030, 78.0566, 110.4767
56.213, 76.6337, 84.0160
56.396, 79.0160, 102.0774
56.580, 75.8666, 79.8622
56.763, 79.0707, 77.0986
56.946, 76.0113, 80.9759
57.129, 77.5503, 80.8065
57.312, 77.5380, 69.7522
57.495, 76.7597, 70.6874
57.678, 76.0461, 61.4476
57.861, 78.3833, 88.8437
58.044, 80.1648, 40.0205
58.228, 70.5211, 73.4688
58.411, 77.8193, 64.1815
58.594, 74.9326, 64.1074
58.777, 77.5493, 58.5509
58.960, 74.2856, 53.0455
59.143, 77.9212, 59.8054
59.326, 77.2327, 53.6741
59.509, 73.6369, 50.4851
59.692, 77.4913, 41.3457
59.875, 76.8731, 48.6017
60.059, 74.1787, 42.3066
60.242, 77.1514, 33.6512
60.425, 72.0537, 41.1883
60.608, 74.9144, 42.1456
60.791, 75.9302, 38.4165
60.974, 72.8518, 33.2737
61.157, 73.8810, 35.8959
61.340, 72.1386, 43.1963
61.523, 74.0200, 40.6308
61.707, 74.0695, 48.8936
61.890, 73.8527, 36.0803
62.073, 73.8402, 40.3438
62.256, 73.7907, 34.8850
62.439, 72.1467, 42.0810
62.622, 74.8783, 37.3223
62.805, 72.6155, 53.4921
62.988, 73.7675, 21.6158
63.171, 72.5400, 38.5279
63.354, 73.6969, 60.0109
63.538, 74.8131, 33.4279
63.721, 74.0868, 26.8615
63.904, 71.1990, 45.0482
64.087, 73.5107, 35.5971
64.270, 71.4536, 44.2561
64.453, 73.4378, 48.9086
64.636, 75.1094, 49.7995
64.819, 75.5860, 41.3284
65.002, 73.2705, 31.0020
65.186, 74.1658, 42.2460
65.369, 73.0340, 29.3872
65.552, 76.7417, 38.3231
65.735, 76.5930, 45.5701
65.918, 75.5995, -7.5498
66.101, 73.0466, 36.7390
66.284, 67.8115, 14.9803
66.467, 78.6070, 54.4217
66.650, 75.0530, 3.0201
66.833, 71.4874, 24.2431
67.017, 73.9326, 50.4275
67.200, 76.1534, 32.1714
67.383, 73.0924, 14.4740
67.566, 76.1916, 29.4726
67.749, 74.7201, 30.3074
67.932, 74.6857, 32.3967
68.115, 78.1486, -12.9121
68.298, 67.6782, 41.6910
68.481, 72.3863, 22.4144
68.665, 74.5121, 40.2670
68.848, 71.8967, -10.5436
69.031, 73.7893, 47.5831
69.214, 73.8485, 42.9018
69.397, 76.0008, 27.1954
69.580, 72.7624, 12.2553
69.763, 74.5025, 37.5626
69.946, 74.3267, 17.3088
70.129, 73.6734, 21.6299
70.313, 74.8697, 28.2596
70.496, 76.8890, 35.6335
70.679, 74.7279, -4.1744
70.862, 73.6057, -1.6536
71.045, 73.4352, 32.4179
71.228, 73.7251, 36.7234
71.411, 74.8526, 20.5076
71.594, 76.6090, 6.0610
71.777, 70.8142, 9.8683
71.960, 70.5504, 2.1219
72.144, 73.1366, 51.8514
72.327, 75.6491, 26.4377
72.510, 75.7638, 37.0095
72.693, 76.9107, 9.3106
72.876, 71.5709, 42.0386
73.059, 76.7378, 23.1429
73.242, 77.1819, 7.9365
73.425, 75.8814, 14.8515
73.608, 75.5285, 12.0559
73.792, 74.3471, -3.1161
73.975, 74.3355, 13.8451
74.158, 74.7389, 5.5101
74.341, 74.1249, 0.5240
74.524, 73.6712, 14.2982
74.707, 73.5294, 19.0683
74.890, 75.0246, 2.6917
75.073, 73.1167, 29.7239
75.256, 76.0950, 0.7719
75.439, 73.7082, 15.3162
75.623, 74.1720, 1.3634
75.806, 71.8641, 17.0603
75.989, 74.7275, -0.6233
76.172, 71.3873, 24.0745
76.355, 74.0965, 18.1484
76.538, 73.2471, 25.8086
76.721, 75.6315, 26.6689
76.904, 75.0059, 14.8108
77.087, 76.1304, 9.2550
77.271, 73.2665, 15.0236
77.454, 75.2802, 2.8536
77.637, 74.4810, 21.4396
77.820, 74.1075, 7.9895
78.003, 74.0836, 15.3962
78.186, 73.6742, 8.7421
78.369, 74.1008, 30.6961
78.552, 76.1852, 11.0289
78.735, 73.1614, 13.9686
78.918, 73.6776, 37.2017
79.102, 76.2502, 21.6213
79.285, 75.9882, 24.5240
79.468, 76.2016, 20.5535
79.651, 77.2793, 15.2054
79.834, 75.3909, 25.8538
80.017, 77.6167, 9.3551
80.200, 75.2336, 9.4776
80.383, 75.7206, 21.1511
80.566, 76.3306, 25.5432
80.750, 77.5954, 19.3258
80.933, 77.9280, 15.3731
81.116, 77.0816, 3.9501
81.299, 77.0490, 22.0598
81.482, 77.2549, 16.0710
81.665, 77.6580, 6.3830
81.848, 75.5618, 15.5258
82.031, 78.5991, 14.8721
82.214, 77.4924, 16.5394
82.397, 78.0314, 11.6246
82.581, 78.2456, 20.2843
82.764, 77.9887, 13.9936
82.947, 79.8149, 12.5364
83.130, 78.8169, 0.2500
83.313, 79.0638, 13.6752
83.496, 78.4749, 1.8779
83.679, 76.7059, 2.4432
83.862, 79.3954, 14.6364
84.045, 79.0074, 9.9148
84.229, 78.7667, 8.9735
84.412, 79.9309, 2.6975
84.595, 78.4737, 10.2172
84.778, 79.4509, 5.9458
84.961, 79.8187, 9.8941
85.144, 79.9169, 7.3335
85.327, 81.1481, -2.0005
85.510, 78.5144, 1.4268
85.693, 79.5451, 2.7463
85.876, 80.1105, 14.6554
86.060, 81.2139, -0.7825
86.243, 80.0062, 3.6733
86.426, 80.6148, 4.6702
86.609, 81.5483, 3.5801
86.792, 81.2384, -0.7878
86.975, 81.5552, -4.0255
87.158, 81.1443, -2.0432
87.341, 81.6746, 2.8115
87.524, 81.4913, -10.4615
87.708, 82.2395, 0.4593
87.891, 81.8613, -5.2314
88.074, 82.4744, -5.4242
88.257, 82.2426, -10.7081
88.440, 82.8295, -9.4652
88.623, 81.6902, -12.9263
88.806, 82.9067, -6.4709
88.989, 82.1190, -9.6637
89.172, 83.8914, -11.1514
89.355, 83.2875, -23.0016
89.539, 83.4361, -18.9241
89.722, 84.5124, -25.0481
89.905, 70.3649, 31.1516
90.088, 85.8119, -9.1120
90.271, 84.6183, -13.7242
90.454, 83.6377, -24.1411
90.637, 84.2264, -21.1222
90.820, 83.5345, -22.1893
91.003, 85.2711, -24.9495
91.187, 83.8589, -24.9273
91.370, 84.5340, -29.1693
91.553, 84.7491, -27.0619
91.736, 84.5590, -35.5560
91.919, 85.6043, -33.4746
92.102, 84.7174, -39.3260
92.285, 83.9809, -38.8896
92.468, 85.1996, -44.1174
92.651, 84.3694, -43.8305
92.834, 83.5298, -48.9834
93.018, 84.4471, -45.0280
93.201, 83.3666, -44.5110
93.384, 84.9043, -46.4742
93.567, 84.0145, -56.4742
93.750, 84.3983, -45.0589
93.933, 83.5651, -64.1077
94.116, 82.4554, -48.9269
94.299, 84.2646, -54.7673
94.482, 83.9288, -60.5034
94.666, 82.4866, -53.2108
94.849, 83.4208, -66.8536
95.032, 82.5011, -60.4413
95.215, 82.6225, -56.4575
95.398, 82.1468, -63.1542
95.581, 81.9344, -61.1458
95.764, 82.3503, -55.3540
95.947, 82.6976, -70.5922
96.130, 81.7269, -59.3779
96.313, 80.8616, -71.8542
96.497, 81.5353, -58.0675
96.680, 79.5024, -59.7136
